	zscore	H_statistic	H_pvalue	S4S3_pvalue	S0S2_pvalue	S0S1_pvalue	S3S5_pvalue
Plekha1	-1.5918097496032715	60.7254083792702	4.1138963735061253e-13	1.4789390453514842e-11	0.00034025268663836924	1.0	2.5965733649013504e-07
Snap23	1.62917959690094	60.71153576879391	4.1420724703353053e-13	2.5749073068939435e-06	2.4160461477396694e-11	1.0	1.2739308292949957e-05
Vps16	1.5487719774246216	59.599733540230034	7.157415894570297e-13	1.2335972488356206e-12	0.0011264938076871796	1.0	1.4498004101563296e-05
Usp32	1.580181360244751	59.45455716654628	7.687201647607588e-13	1.250999860803889e-06	1.9743191763123133e-11	1.0	0.00010261097233906851
Srbd1	1.6204909086227417	59.18375377775174	8.78239582072352e-13	1.241004868532103e-10	0.0005064951915261983	1.0	6.055913312668397e-08
Mfsd7b	1.6418485641479492	58.88790779975099	1.0157856439087615e-12	1.9837567902339125e-12	6.126277781207565e-05	1.0	6.584363469974719e-05
Rab18	1.702497959136963	58.635995912026964	1.1497497070917664e-12	4.94841505036993e-08	1.0719607258063997e-09	1.0	1.619179404471441e-05
Sp4	1.6640459299087524	57.96501121478297	1.5991463644390996e-12	5.43629189668199e-10	3.184435246722101e-07	1.0	5.7828455979041425e-06
Klhl6	-1.7299317121505737	57.29098624575189	2.2273831802703477e-12	3.864991887157162e-12	7.889379854925604e-05	1.0	7.889379854925604e-05
Ndst2	1.641607403755188	57.01554296967427	2.5503218847344774e-12	7.525928334840163e-10	2.9470106780543816e-05	1.0	2.1182038426378564e-07
Xpr1	1.6462242603302002	55.985028138829	4.2319550695277774e-12	6.869149380559236e-10	2.2854027316766415e-05	1.0	6.50701744392591e-07
Shkbp1	1.5665937662124634	55.13979673487312	6.410476149971604e-12	3.052185354837389e-11	0.004272706793455783	1.0	5.083928566227351e-06
Stxbp3	1.6980613470077515	54.61811192087535	8.28285156410537e-12	5.580669004417276e-10	1.635901332634613e-07	1.0	0.0004688189369309109
Cand2	-1.5011088848114014	54.50952429306319	8.736596298554696e-12	3.269347359808339e-12	0.00011189622430853064	1.0	0.005901421777300612
Pot1a	1.6488994359970093	54.061391585680425	1.0887373456843094e-11	9.547158880287509e-12	0.0009873400957465357	1.0	0.0001477854750726976
Slc46a3	1.616845726966858	53.76469459093063	1.2594968301632548e-11	3.43772868541208e-07	2.3668757105867012e-08	1.0	4.718043260522222e-06
