	zscore	H_statistic	H_pvalue	S4S3_pvalue	S0S2_pvalue	S0S1_pvalue	S3S5_pvalue
Trem3	1.7300859689712524	233.47637004027663	2.449967156258887e-50	1.5587479700164024e-50	1.0	2.5880251355604427e-45	3.3710696031899775e-34
Trpc6	1.7085771560668945	233.45420031055266	2.4771591650119456e-50	1.0	1.5688832847238822e-27	2.394774968765028e-48	5.993838930876433e-11
Mgat5	1.6762641668319702	233.03914042504977	3.045789473927349e-50	1.0185267664144214e-54	1.0	4.907502811630682e-30	1.1070256401364828e-26
Plcb2	-1.7180758714675903	232.26362422381234	4.481087177042279e-50	1.6260888847045243e-50	9.076568852003548e-18	1.0	3.1160804759672984e-18
Ell2	1.7045397758483887	231.1104425653178	7.956498865253989e-50	2.2374970509485786e-38	5.598669837798455e-27	1.0	3.819662442583774e-27
Scrn3	1.704770803451538	230.81027426387328	9.238956456256296e-50	1.9652942369101014e-43	2.3941401915935562e-17	1.0	2.673498951432961e-28
Leprot	1.5835250616073608	230.77512910776215	9.402033832163565e-50	3.8103830698615e-51	2.3790162930417203e-14	1.0	2.2617392431235493e-18
Aplp2	1.571663737297058	229.43359835588478	1.8334808608665964e-49	3.353170497503666e-29	6.419662812520455e-33	1.0	3.1202261089658654e-29
Crip2	1.7239586114883423	229.36412574595775	1.8980033304591734e-49	1.672604267956808e-44	4.538867587777969e-18	1.0	7.128954900646526e-26
Prss57	1.6865676641464233	229.16726947034567	2.0934323060859028e-49	8.166653874555558e-47	1.0	4.796712882477361e-52	3.376904520789288e-19
Slc25a38	1.5568631887435913	228.53509957560743	2.8677296421494944e-49	4.024261164121974e-50	1.676058651986517e-08	1.0	1.5767686345358882e-20
Gria3	1.7020596265792847	227.24516999687606	5.450349818873604e-49	2.3229750798710677e-32	1.0	5.331253749130403e-54	4.52825853010647e-25
Tspan13	-1.6369247436523438	223.12020897309998	4.24820314794912e-48	1.5639186212686963e-39	1.0	2.206334057372665e-34	3.134207445305959e-45
Cyth4	-1.5315327644348145	221.89013803203207	7.83649717323498e-48	5.198224369852678e-39	1.9053410306678623e-18	1.0	4.741295875453533e-29
Fam126a	1.7040159702301025	221.4449889627966	9.780311431604954e-48	2.1668362168083535e-33	2.294029385415252e-34	1.0	3.6819322315709634e-20
Cct3	1.5277680158615112	221.102426913951	1.1598609107391185e-47	4.350528646673892e-49	2.3683585501899344e-15	1.0	4.880299727090737e-16
Cnn2	-1.7005226612091064	220.73820147291678	1.3904060689090022e-47	1.7498984831491516e-43	7.071628088330113e-25	1.0	3.2698900502630776e-17
Prdx2	1.717286229133606	220.51430771032264	1.5543226484743012e-47	2.4620313968742328e-48	2.4582124793766104e-18	1.0	9.043382514744364e-15
Plk1	1.5744556188583374	220.47086913327973	1.5882956474816792e-47	4.650209620748999e-43	1.9724736936596297e-10	1.0	3.788808597844957e-27
Nt5c3	1.5660996437072754	220.2734430503459	1.7523024975514174e-47	7.02416556032907e-31	3.532581171940256e-30	1.0	6.722296921475076e-27
Aldh1a7	1.7233052253723145	219.29293512973683	2.854720654506013e-47	2.774369817218555e-40	5.1280799484385316e-23	1.0	5.1280799484385316e-23
Fech	1.5339101552963257	219.19569553681072	2.996287509412987e-47	3.957434435956173e-39	1.4184876131940914e-12	1.0	9.578679067942414e-31
Pdia6	1.5852150917053223	218.56634228452805	4.0985200694870886e-47	4.112269752661701e-50	1.0	2.239975705526465e-22	4.403070455037753e-21
Aldh1a1	1.653152346611023	218.3221039336038	4.628306961687261e-47	2.614908931059301e-34	2.798226702345635e-22	1.0	7.797561545168688e-30
F13a1	1.7303045988082886	218.27764149727128	4.731874550231761e-47	3.3917036405854013e-49	1.0	9.26643651475351e-39	3.018251198522708e-30
Rgs19	-1.5991443395614624	217.3520076920823	7.500973130902167e-47	1.5621323609516975e-30	5.6687441267449205e-27	1.0	4.9396599046060565e-29
